patch_path,case_id,scanner,label
data/processed/patches/Aperio-CS2/positive/144_pos_008.png,144,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/126_pos_012.png,126,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/126_pos_006.png,126,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/118_pos_001.png,118,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/104_pos_000.png,104,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/121_pos_036.png,121,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/118_pos_029.png,118,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/134_pos_008.png,134,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/139_pos_048.png,139,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/134_pos_020.png,134,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/136_pos_015.png,136,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/114_pos_007.png,114,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/114_pos_013.png,114,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/131_pos_019.png,131,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/146_pos_001.png,146,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/123_pos_017.png,123,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/123_pos_003.png,123,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/106_pos_009.png,106,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/106_pos_008.png,106,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/123_pos_002.png,123,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/123_pos_016.png,123,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/101_pos_004.png,101,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/146_pos_000.png,146,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/131_pos_018.png,131,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/131_pos_024.png,131,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/136_pos_000.png,136,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/136_pos_028.png,136,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/139_pos_049.png,139,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/111_pos_003.png,111,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/134_pos_009.png,134,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/121_pos_037.png,121,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/104_pos_001.png,104,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/143_pos_005.png,143,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/118_pos_000.png,118,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/126_pos_007.png,126,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/144_pos_021.png,144,Aperio-CS2,1
data/processed/patches/Aperio-CS2/positive/144_pos_009.png,144,Aperio-CS2,1
