patch_path,case_id,scanner,label
data/processed/patches/Hamamatsu-S360/positive/066_pos_000.png,066,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/058_pos_007.png,058,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_101.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/092_pos_003.png,092,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/073_pos_002.png,073,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/073_pos_016.png,073,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/056_pos_008.png,056,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/084_pos_066.png,084,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/076_pos_007.png,076,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/054_pos_001.png,054,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/054_pos_015.png,054,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/071_pos_023.png,071,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/064_pos_009.png,064,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/064_pos_021.png,064,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/078_pos_020.png,078,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_049.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/063_pos_005.png,063,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_075.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_060.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/099_pos_008.png,099,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_074.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/063_pos_004.png,063,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/094_pos_048.png,094,Hamamatsu-S360,1
data/processed/patches/Hamamatsu-S360/positive/082_pos_005.png,082,Hamamatsu-S360,1
