image_id,filename,file_number,scanner,scanner_label,num_mitoses,mitosis_coords,width,height
151,151.tiff,151,Leica-GT450,Scanner_D,0,[],6218,4620
152,152.tiff,152,Leica-GT450,Scanner_D,0,[],6201,4665
153,153.tiff,153,Leica-GT450,Scanner_D,0,[],6204,4649
154,154.tiff,154,Leica-GT450,Scanner_D,0,[],6249,4659
155,155.tiff,155,Leica-GT450,Scanner_D,0,[],6179,4698
156,156.tiff,156,Leica-GT450,Scanner_D,0,[],6215,4660
157,157.tiff,157,Leica-GT450,Scanner_D,0,[],6199,4677
158,158.tiff,158,Leica-GT450,Scanner_D,0,[],6214,4644
159,159.tiff,159,Leica-GT450,Scanner_D,0,[],6213,4656
160,160.tiff,160,Leica-GT450,Scanner_D,0,[],6302,4595
161,161.tiff,161,Leica-GT450,Scanner_D,0,[],6213,4655
162,162.tiff,162,Leica-GT450,Scanner_D,0,[],6208,4630
163,163.tiff,163,Leica-GT450,Scanner_D,0,[],6214,4670
164,164.tiff,164,Leica-GT450,Scanner_D,0,[],6185,4695
165,165.tiff,165,Leica-GT450,Scanner_D,0,[],6202,4669
166,166.tiff,166,Leica-GT450,Scanner_D,0,[],6171,4709
167,167.tiff,167,Leica-GT450,Scanner_D,0,[],6197,4645
168,168.tiff,168,Leica-GT450,Scanner_D,0,[],6199,4647
169,169.tiff,169,Leica-GT450,Scanner_D,0,[],6206,4667
170,170.tiff,170,Leica-GT450,Scanner_D,0,[],6199,4640
171,171.tiff,171,Leica-GT450,Scanner_D,0,[],6182,4712
172,172.tiff,172,Leica-GT450,Scanner_D,0,[],6205,4659
173,173.tiff,173,Leica-GT450,Scanner_D,0,[],6248,4676
174,174.tiff,174,Leica-GT450,Scanner_D,0,[],6247,4682
175,175.tiff,175,Leica-GT450,Scanner_D,0,[],6216,4683
176,176.tiff,176,Leica-GT450,Scanner_D,0,[],6211,4638
177,177.tiff,177,Leica-GT450,Scanner_D,0,[],6196,4639
178,178.tiff,178,Leica-GT450,Scanner_D,0,[],6206,4664
179,179.tiff,179,Leica-GT450,Scanner_D,0,[],6210,4653
180,180.tiff,180,Leica-GT450,Scanner_D,0,[],6242,4673
181,181.tiff,181,Leica-GT450,Scanner_D,0,[],6188,4702
182,182.tiff,182,Leica-GT450,Scanner_D,0,[],6180,4662
183,183.tiff,183,Leica-GT450,Scanner_D,0,[],6193,4690
184,184.tiff,184,Leica-GT450,Scanner_D,0,[],6203,4667
185,185.tiff,185,Leica-GT450,Scanner_D,0,[],6183,4682
186,186.tiff,186,Leica-GT450,Scanner_D,0,[],6242,4685
187,187.tiff,187,Leica-GT450,Scanner_D,0,[],6186,4700
188,188.tiff,188,Leica-GT450,Scanner_D,0,[],6206,4646
189,189.tiff,189,Leica-GT450,Scanner_D,0,[],6213,4634
190,190.tiff,190,Leica-GT450,Scanner_D,0,[],6219,4657
191,191.tiff,191,Leica-GT450,Scanner_D,0,[],6216,4717
192,192.tiff,192,Leica-GT450,Scanner_D,0,[],6182,4705
193,193.tiff,193,Leica-GT450,Scanner_D,0,[],6201,4639
194,194.tiff,194,Leica-GT450,Scanner_D,0,[],6212,4655
195,195.tiff,195,Leica-GT450,Scanner_D,0,[],6173,4701
196,196.tiff,196,Leica-GT450,Scanner_D,0,[],6197,4675
197,197.tiff,197,Leica-GT450,Scanner_D,0,[],6199,4647
198,198.tiff,198,Leica-GT450,Scanner_D,0,[],6203,4661
199,199.tiff,199,Leica-GT450,Scanner_D,0,[],6194,4676
200,200.tiff,200,Leica-GT450,Scanner_D,0,[],6180,4692
