epoch,train_loss,train_auroc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc
1,0.8075270916738461,0.4935933794464905,0.7208307199871418,0.46288659793814435,0.25645438898450945,0.6260504201680672,0.36385836385836384,0.48588533774165404,0.23875411658185658
2,0.7512189767664786,0.5079199453602438,0.7252068898112504,0.2927835051546392,0.24545454545454545,0.907563025210084,0.38640429338103754,0.49947191991550716,0.2595474642482709
3,0.7361009910865212,0.5001138328255066,0.707632640710811,0.3835051546391753,0.2513812154696133,0.7647058823529411,0.3783783783783784,0.501549800247968,0.23821989515991485
4,0.723235449247193,0.5072183046821215,0.6777796650670238,0.7175257731958763,0.2631578947368421,0.08403361344537816,0.12738853503184713,0.5002009000321439,0.24652583994035926
5,0.7290591175887414,0.4809959811404321,0.6881451348668521,0.6,0.22627737226277372,0.2605042016806723,0.2421875,0.4929627588740414,0.25313785587857146
6,0.7153994241502399,0.5042406137938708,0.6903640700369766,0.5865979381443299,0.24923076923076923,0.3403361344537815,0.2877442273534636,0.5176849428295909,0.2621556926102264
7,0.7161496790623202,0.4993586861721462,0.6838344127861495,0.5989690721649484,0.2572347266881029,0.33613445378151263,0.29143897996357016,0.5224950635992102,0.2633668434341
8,0.7157410986901687,0.5021209889844385,0.6836479774455434,0.7175257731958763,0.2631578947368421,0.08403361344537816,0.12738853503184713,0.49471345915415343,0.25396392932830747
9,0.7063988205548879,0.5075316102085157,0.7051254510879517,0.4268041237113402,0.2523364485981308,0.680672268907563,0.36818181818181817,0.5061360609817698,0.26361282339353964
10,0.703658217923683,0.5279073828241878,0.6935619506639303,0.5793814432989691,0.24397590361445784,0.3403361344537815,0.28421052631578947,0.5083115213298435,0.2629841538985356
11,0.7037113862559942,0.52209887722334,0.6920574082541712,0.522680412371134,0.24018475750577367,0.4369747899159664,0.30998509687034276,0.5142179822748771,0.28055669536342415
12,0.7025194359424839,0.5196342677123725,0.6923610910926897,0.5164948453608248,0.23809523809523808,0.4411764705882353,0.30927835051546393,0.5046321807411489,0.2746774491933869
13,0.7004102016580562,0.5320046066674204,0.6855939398106841,0.6072164948453608,0.2671009771986971,0.3445378151260504,0.30091743119266057,0.5063312210129954,0.2738888807801121
14,0.6938990247142207,0.5519544535311973,0.6907111346107169,0.520618556701031,0.23167848699763594,0.4117647058823529,0.29652042360060515,0.49873719979795195,0.2719596900110023
15,0.695445375060402,0.5464735015068071,0.7086628636134039,0.5175257731958763,0.240990990990991,0.4495798319327731,0.31378299120234604,0.5065378610460578,0.2696430260760258
16,0.6943327241059217,0.5577806934071241,0.70151974663292,0.5329896907216495,0.2668112798264642,0.5168067226890757,0.351931330472103,0.5179260228681637,0.27584007280336764
17,0.6869259486270776,0.5741885356551389,0.7086246045594363,0.5237113402061856,0.259656652360515,0.5084033613445378,0.34375,0.5208821233411397,0.2772721138281821
