train_loss,train_auroc,val_loss,val_auroc,val_auprc
0.7951022372985124,0.5129798220327603,0.6971908552130474,0.47472677595628415,0.22879010968475202
0.7821351005715632,0.5087560330639643,0.737817666211079,0.4794565367130459,0.22884720174888973
0.7650855564856315,0.5157678925951671,0.7476338595459142,0.4756164760986362,0.24294453985487505
0.7547060318216999,0.5117902614274666,0.6904950462665754,0.5022500803600128,0.25005479462408237
0.7614810758713243,0.4912078920858751,0.6717661758059079,0.5116120218579235,0.26055594263093174
0.7466313901700472,0.5014558778814787,0.7362965989358646,0.4786012765762042,0.2370157274744636
0.7291420651250905,0.5171323707512391,0.7008820119592333,0.4910742985718877,0.24034053979676107
0.7303664758059581,0.5081806543614039,0.7490722143772951,0.47285553565688565,0.2506999893425108
0.7252212962927893,0.5142686642634956,0.6981803983757177,0.49187215869954537,0.25420361823051885
0.7091767736779055,0.5394399667505079,0.7243495079659924,0.4793589566974331,0.2522537861937759
0.7132072424142493,0.5255299289386082,0.6997481455507967,0.4889217982274877,0.25565806003523794
0.7118728156901468,0.5296414008319043,0.692801954082607,0.4837500574000092,0.256726231203779
