epoch,train_loss,train_auroc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc
1,0.8124533417500717,0.4960310179880207,0.8530114204634135,0.2725060827250608,0.24629271437782077,0.9339853300733496,0.38979591836734695,0.48900349425378387,0.2507911507301491
2,0.7655983218255045,0.49859511241322607,0.6771780842702174,0.6338199513381995,0.2219020172910663,0.1882640586797066,0.2037037037037037,0.49087336547122934,0.24817017206281877
3,0.742556082603858,0.5045281120355,0.6598695947305999,0.7317518248175182,0.28378378378378377,0.05134474327628362,0.08695652173913043,0.49598507270621545,0.260505610174551
4,0.7242930801985132,0.5222560094971163,0.655569428365016,0.75,0.47368421052631576,0.044009779951100246,0.08053691275167785,0.49473486235807684,0.27105378775272776
5,0.7169088531170775,0.5117772811965351,0.6879787005647255,0.5833333333333334,0.23563218390804597,0.30073349633251834,0.26423200859291085,0.48718806608396115,0.2760993740844604
6,0.7206484881414247,0.5067978022047783,0.678467654398758,0.6605839416058394,0.25412541254125415,0.1882640586797066,0.21629213483146068,0.5006166912485275,0.2724435054023629
7,0.7026708451197502,0.5406106468005955,0.6723153857999185,0.7055961070559611,0.30158730158730157,0.1393643031784841,0.19063545150501673,0.5124397414450175,0.28314281478220116
8,0.7089602382848658,0.5256882393831953,0.6610522384771176,0.7037712895377128,0.25316455696202533,0.097799511002445,0.14109347442680775,0.5206933074646367,0.2664349238553627
9,0.7004229777679841,0.5403329069365134,0.7046272940299226,0.4166666666666667,0.24202626641651032,0.6308068459657702,0.34983050847457625,0.4927531354246063,0.25696777675887417
10,0.6976819193366081,0.5536580720727012,0.7036904106755036,0.4555961070559611,0.24093816631130063,0.5525672371638142,0.33556050482553823,0.4972709185037071,0.2637714159651209
11,0.7033109219219393,0.5376958066041778,0.6714755160385095,0.677007299270073,0.26356589147286824,0.16625916870415647,0.20389805097451275,0.5026766181958564,0.2772752598608827
12,0.6999307200945092,0.5466239529207124,0.745471705630458,0.4781021897810219,0.24342857142857144,0.5207823960880196,0.3317757009345794,0.502632073884165,0.2537349163426328
13,0.6950286652404013,0.5631567754243072,0.6661134027216556,0.6800486618004866,0.3016949152542373,0.2176039119804401,0.2528409090909091,0.5142353721429773,0.280201915459775
14,0.6841027470662008,0.588659325869802,0.6682589498604591,0.6113138686131386,0.25,0.28117359413202936,0.2646720368239356,0.5090543737564712,0.27360955644358775
15,0.6817926197644145,0.5925219731909612,0.6650065029914651,0.6478102189781022,0.26902173913043476,0.24205378973105135,0.2548262548262548,0.5119606426259367,0.28403538952532975
16,0.6852381964953467,0.5890735550385185,0.6734211212092073,0.6173965936739659,0.2679324894514768,0.3105134474327628,0.2876557191392978,0.5135860150658761,0.2768192717998025
17,0.6781026583518214,0.6006989522065243,0.6742445096337302,0.648418491484185,0.2536443148688047,0.21271393643031786,0.23138297872340424,0.5005691773160568,0.27351461163232016
18,0.6742393665454818,0.6166478861615715,0.7055407804584272,0.579683698296837,0.24731182795698925,0.3374083129584352,0.2854188210961737,0.5066252239589004,0.2704755419491746
